epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	2.022064	-0.8227	-1.7890
1	daily	1.600000e-04	0.893476	3.381706	0.617997	0.4736	0.5011
2	daily	2.800000e-04	0.573695	2.231351	0.528990	0.6236	0.5859
3	daily	4.000000e-04	0.476925	1.896309	0.490269	0.6548	0.5799
4	daily	3.998377e-04	0.412197	1.716753	0.483117	0.6664	0.5901
5	daily	3.993512e-04	0.375483	1.599598	0.459781	0.6650	0.5713
6	daily	3.985411e-04	0.358078	1.548004	0.502275	0.6702	0.5239
7	daily	3.974089e-04	0.342828	1.489370	0.497028	0.6539	0.5513
8	daily	3.959565e-04	0.337796	1.486526	0.489072	0.6742	0.5629
9	daily	3.941863e-04	0.326574	1.434079	0.454056	0.6898	0.6072
10	daily	3.921011e-04	0.325702	1.446286	0.454171	0.6898	0.6103
11	daily	3.897046e-04	0.315797	1.388326	0.454367	0.6796	0.5726
12	daily	3.870006e-04	0.311692	1.373255	0.501308	0.6678	0.6520
13	daily	3.839937e-04	0.305772	1.355590	0.453568	0.6874	0.6524
14	daily	3.806889e-04	0.301133	1.332917	0.441399	0.7078	0.5537
15	daily	3.770917e-04	0.299341	1.331893	0.447078	0.6994	0.6222
16	daily	3.732081e-04	0.297366	1.316547	0.460573	0.6883	0.5946
17	daily	3.690444e-04	0.293905	1.307980	0.482746	0.6915	0.5983
18	daily	3.646078e-04	0.294000	1.317522	0.464060	0.6921	0.6275
19	daily	3.599055e-04	0.292512	1.305533	0.456264	0.7042	0.6110
20	daily	3.549454e-04	0.290191	1.300395	0.454388	0.6977	0.6215
21	daily	3.497357e-04	0.283622	1.252331	0.479901	0.6971	0.5960
22	daily	3.442851e-04	0.285212	1.275581	0.495319	0.6737	0.5628
# SWA activated at epoch 22
23	swa	2.000000e-04	0.289695	1.300145	0.452906	0.6819	0.6233
24	swa	2.000000e-04	0.286337	1.281169	0.445603	0.6847	0.6192
25	swa	2.000000e-04	0.285093	1.280679	0.446034	0.7029	0.6183
26	swa	2.000000e-04	0.280783	1.248762	0.447995	0.6985	0.6042
27	swa	2.000000e-04	0.279388	1.243801	0.445784	0.6980	0.6195
28	swa	2.000000e-04	0.280279	1.250340	0.442588	0.6982	0.6253
29	swa	2.000000e-04	0.278512	1.248734	0.443644	0.7011	0.6185
30	swa	2.000000e-04	0.276230	1.236340	0.445518	0.7041	0.6159
31	swa	2.000000e-04	0.276926	1.239624	0.445420	0.7049	0.6128
32	swa	2.000000e-04	0.273324	1.223880	0.443674	0.7023	0.6200
33	swa	2.000000e-04	0.275057	1.233705	0.444497	0.7020	0.6209
34	swa	2.000000e-04	0.271800	1.215259	0.446003	0.7034	0.6194
35	swa	2.000000e-04	0.272015	1.221025	0.445284	0.7013	0.6217
36	swa	2.000000e-04	0.271568	1.216483	0.445188	0.7025	0.6180
37	swa	2.000000e-04	0.267968	1.191191	0.445033	0.7036	0.6251
38	swa	2.000000e-04	0.268316	1.190786	0.444427	0.7023	0.6215
# SWA converged at epoch 38
