epoch	phase	lr	train_crps	train_total	val_crps	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	0.511828	-0.0797	-0.7168
1	daily	5.600000e-05	0.392221	0.340396	0.208991	0.4175	0.4425
2	daily	9.200000e-05	0.239645	0.185792	0.174602	0.6208	0.6017
3	daily	1.280000e-04	0.204948	0.150414	0.167197	0.7086	0.6591
4	daily	1.640000e-04	0.186775	0.132157	0.154061	0.7139	0.7293
5	daily	2.000000e-04	0.175370	0.120674	0.154101	0.7040	0.6765
6	daily	1.999481e-04	0.167075	0.112326	0.146595	0.7324	0.7173
7	daily	1.997923e-04	0.160957	0.106181	0.148438	0.7483	0.7272
8	daily	1.995329e-04	0.157513	0.102718	0.153541	0.7486	0.7116
9	daily	1.991701e-04	0.155434	0.100624	0.154353	0.7316	0.7416
10	daily	1.987043e-04	0.155527	0.100716	0.164706	0.7259	0.7120
11	daily	1.981361e-04	0.160141	0.105325	0.166278	0.7414	0.6709
12	daily	1.974660e-04	0.164462	0.109656	0.157584	0.7249	0.6859
13	daily	1.966948e-04	0.165438	0.110632	0.162177	0.7027	0.7040
14	daily	1.958234e-04	0.161975	0.107159	0.146232	0.7511	0.7423
15	daily	1.948526e-04	0.159824	0.105004	0.151618	0.7533	0.7191
16	daily	1.937836e-04	0.156752	0.101928	0.153788	0.7209	0.7076
17	daily	1.926175e-04	0.155396	0.100563	0.155563	0.7281	0.6933
18	daily	1.913556e-04	0.153914	0.099077	0.153767	0.7324	0.6983
19	daily	1.899993e-04	0.153796	0.098955	0.157237	0.7222	0.7547
20	daily	1.885500e-04	0.153099	0.098257	0.153878	0.7559	0.7060
21	daily	1.870094e-04	0.152375	0.097541	0.172769	0.7137	0.6441
22	daily	1.853790e-04	0.151884	0.097048	0.158743	0.7416	0.7240
23	daily	1.836608e-04	0.151736	0.096902	0.157392	0.7372	0.7033
24	daily	1.818566e-04	0.151023	0.096190	0.154551	0.7231	0.7191
25	daily	1.799683e-04	0.149983	0.095149	0.154952	0.7172	0.7064
26	daily	1.779981e-04	0.149426	0.094592	0.152814	0.7433	0.7084
27	daily	1.759480e-04	0.149158	0.094322	0.154735	0.7241	0.6746
28	daily	1.738204e-04	0.147992	0.093157	0.161738	0.6929	0.6735
29	daily	1.716175e-04	0.148001	0.093165	0.150712	0.7471	0.7042
# Early stopping at epoch 29
