epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge	tau	tau_eff	pi_0	pi_1
0	init_daily	0.000000e+00	nan	nan	1.314933	-0.0765	-0.5000	0.250000	0.250000	0.458054	0.541946
1	daily	1.600000e-04	0.756387	0.744691	0.673250	0.5165	0.5120	0.243086	0.243086	0.676499	0.323501
2	daily	2.800000e-04	0.400762	0.387384	0.497925	0.6539	0.5938	0.240091	0.240091	0.662221	0.337779
3	daily	4.000000e-04	0.318760	0.305407	0.470179	0.6774	0.6333	0.239942	0.239942	0.685177	0.314823
4	daily	3.998377e-04	0.286996	0.273570	0.484011	0.6528	0.6384	0.240935	0.240935	0.701787	0.298213
5	daily	3.993512e-04	0.268647	0.255224	0.455540	0.6752	0.6123	0.240937	0.240937	0.689172	0.310828
6	daily	3.985411e-04	0.261145	0.247737	0.449287	0.6867	0.6231	0.242539	0.242539	0.715089	0.284911
7	daily	3.974089e-04	0.253254	0.239868	0.473878	0.6729	0.6502	0.243114	0.243114	0.721994	0.278006
8	daily	3.959565e-04	0.248380	0.234999	0.449303	0.6827	0.6357	0.242127	0.242127	0.714038	0.285962
9	daily	3.941863e-04	0.241900	0.228503	0.465688	0.6771	0.6654	0.242218	0.242218	0.751576	0.248424
10	daily	3.921011e-04	0.237269	0.223842	0.450297	0.7045	0.6097	0.243786	0.243786	0.719879	0.280121
11	daily	3.897046e-04	0.233680	0.220181	0.451662	0.6930	0.6213	0.243802	0.243802	0.726061	0.273939
12	daily	3.870006e-04	0.229576	0.216023	0.432659	0.7046	0.6599	0.245279	0.245279	0.715949	0.284052
13	daily	3.839937e-04	0.228183	0.214579	0.452218	0.7004	0.6542	0.246125	0.246125	0.726938	0.273062
14	daily	3.806889e-04	0.224750	0.211124	0.446252	0.6979	0.6519	0.246311	0.246311	0.723656	0.276344
15	daily	3.770917e-04	0.223734	0.210086	0.440453	0.7152	0.6623	0.247018	0.247018	0.707771	0.292229
16	daily	3.732081e-04	0.220054	0.206393	0.453224	0.6950	0.6661	0.247328	0.247328	0.695414	0.304586
17	daily	3.690444e-04	0.220079	0.206409	0.434868	0.7170	0.6695	0.248449	0.248449	0.691104	0.308896
18	daily	3.646078e-04	0.216781	0.203093	0.458759	0.7017	0.6695	0.248853	0.248853	0.696970	0.303030
19	daily	3.599055e-04	0.216000	0.202294	0.451212	0.7089	0.6496	0.249645	0.249645	0.683724	0.316276
20	daily	3.549454e-04	0.214490	0.200767	0.437899	0.7074	0.6886	0.250407	0.250407	0.691423	0.308577
# SWA activated at epoch 20
21	swa	2.000000e-04	0.221603	0.207960	0.455570	0.6854	0.6769	0.244561	0.244561	0.691949	0.308051
22	swa	2.000000e-04	0.221198	0.207531	0.448672	0.6957	0.6715	0.244450	0.244450	0.695043	0.304957
23	swa	2.000000e-04	0.218951	0.205270	0.442541	0.6969	0.6775	0.244112	0.244112	0.695274	0.304726
24	swa	2.000000e-04	0.216371	0.202688	0.441285	0.6949	0.6814	0.243853	0.243853	0.694004	0.305996
25	swa	2.000000e-04	0.216394	0.202698	0.440247	0.6949	0.6686	0.243606	0.243606	0.690336	0.309665
26	swa	2.000000e-04	0.216629	0.202929	0.442235	0.6965	0.6698	0.243332	0.243332	0.689362	0.310638
27	swa	2.000000e-04	0.214546	0.200841	0.442925	0.6930	0.6555	0.243105	0.243105	0.689085	0.310915
28	swa	2.000000e-04	0.211518	0.197803	0.442728	0.6890	0.6586	0.242848	0.242848	0.687766	0.312234
29	swa	2.000000e-04	0.212621	0.198901	0.443844	0.6904	0.6692	0.242574	0.242574	0.688530	0.311470
30	swa	2.000000e-04	0.210871	0.197145	0.443263	0.6861	0.6669	0.242426	0.242426	0.687815	0.312185
31	swa	2.000000e-04	0.209823	0.196102	0.442193	0.6842	0.6627	0.242238	0.242238	0.687862	0.312138
32	swa	2.000000e-04	0.209639	0.195911	0.441080	0.6850	0.6626	0.242040	0.242040	0.686585	0.313415
33	swa	2.000000e-04	0.209353	0.195618	0.440629	0.6885	0.6648	0.241917	0.241917	0.685358	0.314642
34	swa	2.000000e-04	0.207065	0.193331	0.440838	0.6873	0.6643	0.241770	0.241770	0.684714	0.315286
35	swa	2.000000e-04	0.205578	0.191841	0.440083	0.6884	0.6681	0.241611	0.241611	0.683313	0.316687
# SWA converged at epoch 35
