epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	2.737290	-1.0134	-2.4745
1	daily	1.600000e-04	0.843626	3.007599	0.813854	0.5187	0.5022
2	daily	2.800000e-04	0.517339	1.903052	0.734069	0.5923	0.5754
3	daily	4.000000e-04	0.427040	1.632032	0.679816	0.6642	0.6806
4	daily	3.998377e-04	0.376001	1.495808	0.638711	0.6970	0.6254
5	daily	3.993512e-04	0.342199	1.387142	0.642516	0.6762	0.6067
6	daily	3.985411e-04	0.324973	1.324387	0.603997	0.7161	0.6809
7	daily	3.974089e-04	0.312391	1.286445	0.627811	0.6534	0.6538
8	daily	3.959565e-04	0.303496	1.254226	0.654507	0.6752	0.5867
9	daily	3.941863e-04	0.295424	1.218322	0.618893	0.7094	0.6595
10	daily	3.921011e-04	0.290736	1.206042	0.624783	0.6845	0.6508
11	daily	3.897046e-04	0.284395	1.190980	0.671217	0.6455	0.6277
12	daily	3.870006e-04	0.282131	1.178849	0.622137	0.6829	0.6435
13	daily	3.839937e-04	0.274419	1.132985	0.613415	0.6816	0.6329
14	daily	3.806889e-04	0.273223	1.140417	0.636563	0.6842	0.6162
# SWA activated at epoch 14
15	swa	2.000000e-04	0.299670	1.244112	0.610282	0.6865	0.6477
16	swa	2.000000e-04	0.291506	1.213233	0.604956	0.6893	0.6336
17	swa	2.000000e-04	0.290749	1.210919	0.606394	0.6890	0.6145
18	swa	2.000000e-04	0.286595	1.195666	0.602369	0.6772	0.6332
19	swa	2.000000e-04	0.280605	1.170329	0.602280	0.6834	0.6292
20	swa	2.000000e-04	0.278887	1.169065	0.601081	0.6791	0.6334
21	swa	2.000000e-04	0.278121	1.166633	0.602444	0.6755	0.6191
22	swa	2.000000e-04	0.273996	1.155947	0.602694	0.6796	0.6193
23	swa	2.000000e-04	0.272314	1.142176	0.603882	0.6764	0.6191
24	swa	2.000000e-04	0.270481	1.140827	0.605413	0.6763	0.6249
25	swa	2.000000e-04	0.268878	1.144347	0.603738	0.6779	0.6232
26	swa	2.000000e-04	0.265012	1.118069	0.603638	0.6790	0.6243
27	swa	2.000000e-04	0.264257	1.115720	0.601878	0.6837	0.6201
28	swa	2.000000e-04	0.264664	1.123081	0.602492	0.6847	0.6234
29	swa	2.000000e-04	0.261826	1.109552	0.602690	0.6829	0.6203
30	swa	2.000000e-04	0.261846	1.113098	0.600797	0.6843	0.6189
# SWA converged at epoch 30
