epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	2.446684	-0.6437	-1.2759
1	daily	1.600000e-04	0.873065	3.342070	0.614492	0.5947	0.5910
2	daily	2.800000e-04	0.541538	2.162002	0.534661	0.6393	0.5726
3	daily	4.000000e-04	0.462837	1.876855	0.556377	0.6757	0.6073
4	daily	3.998377e-04	0.416891	1.738537	0.444591	0.7152	0.6975
5	daily	3.993512e-04	0.378928	1.613901	0.476657	0.6932	0.6302
6	daily	3.985411e-04	0.356813	1.536090	0.436624	0.7322	0.6857
7	daily	3.974089e-04	0.348696	1.518756	0.422396	0.7311	0.6890
8	daily	3.959565e-04	0.335975	1.454261	0.443708	0.7043	0.6731
9	daily	3.941863e-04	0.329038	1.440895	0.407859	0.7640	0.7502
10	daily	3.921011e-04	0.325169	1.426998	0.427491	0.7232	0.6806
11	daily	3.897046e-04	0.315799	1.386094	0.454065	0.7352	0.6800
12	daily	3.870006e-04	0.309933	1.357586	0.413212	0.7477	0.7157
13	daily	3.839937e-04	0.309884	1.375976	0.416972	0.7433	0.6504
14	daily	3.806889e-04	0.304572	1.360341	0.404979	0.7345	0.6988
15	daily	3.770917e-04	0.297968	1.331299	0.434556	0.7633	0.6785
16	daily	3.732081e-04	0.298850	1.343565	0.426552	0.7393	0.7040
17	daily	3.690444e-04	0.296475	1.332683	0.404532	0.7441	0.6852
18	daily	3.646078e-04	0.293186	1.321155	0.450337	0.7583	0.7074
19	daily	3.599055e-04	0.291429	1.309989	0.431317	0.7621	0.7068
20	daily	3.549454e-04	0.286421	1.286255	0.403608	0.7743	0.7052
21	daily	3.497357e-04	0.287333	1.297522	0.426339	0.7679	0.6757
22	daily	3.442851e-04	0.287989	1.310816	0.428701	0.7504	0.7047
23	daily	3.386026e-04	0.282708	1.274992	0.419686	0.7477	0.7350
24	daily	3.326978e-04	0.280707	1.262001	0.427896	0.7376	0.7042
25	daily	3.265805e-04	0.276161	1.236094	0.437154	0.7166	0.6555
26	daily	3.202608e-04	0.276251	1.247210	0.462459	0.7573	0.7141
27	daily	3.137493e-04	0.273093	1.227053	0.436715	0.7625	0.6658
28	daily	3.070568e-04	0.270750	1.218336	0.427169	0.7577	0.6785
# SWA activated at epoch 28
29	swa	2.000000e-04	0.274883	1.248636	0.417437	0.7645	0.7079
30	swa	2.000000e-04	0.271601	1.230230	0.406146	0.7511	0.6864
31	swa	2.000000e-04	0.271047	1.226675	0.411155	0.7558	0.6859
32	swa	2.000000e-04	0.268518	1.214822	0.408338	0.7655	0.6918
33	swa	2.000000e-04	0.268573	1.213360	0.404619	0.7594	0.6790
34	swa	2.000000e-04	0.266249	1.201883	0.402269	0.7689	0.6714
35	swa	2.000000e-04	0.267560	1.213830	0.402120	0.7686	0.6756
36	swa	2.000000e-04	0.267997	1.219720	0.402868	0.7691	0.6722
37	swa	2.000000e-04	0.265255	1.202037	0.402795	0.7693	0.6773
38	swa	2.000000e-04	0.263455	1.194191	0.403650	0.7709	0.6833
39	swa	2.000000e-04	0.262587	1.176923	0.404682	0.7690	0.6860
40	swa	2.000000e-04	0.262332	1.183664	0.405971	0.7705	0.6908
41	swa	2.000000e-04	0.259873	1.169935	0.406913	0.7709	0.6922
42	swa	2.000000e-04	0.259646	1.167358	0.405631	0.7671	0.6917
43	swa	2.000000e-04	0.260632	1.181870	0.404700	0.7648	0.6896
44	swa	2.000000e-04	0.259997	1.171617	0.404923	0.7650	0.6929
# SWA converged at epoch 44
