epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	13.220182	-0.0897	-0.5534
1	daily	1.600000e-04	6.419774	25.012101	6.210360	0.4260	0.4197
2	daily	2.800000e-04	3.586802	13.699490	5.308436	0.5732	0.4789
3	daily	4.000000e-04	2.982128	11.772890	4.940056	0.5742	0.4990
4	daily	3.998377e-04	2.669765	10.785584	4.306985	0.6359	0.5993
5	daily	3.993512e-04	2.456539	10.122426	4.123340	0.6729	0.5693
6	daily	3.985411e-04	2.317523	9.689978	3.940340	0.6485	0.5956
7	daily	3.974089e-04	2.208326	9.282139	3.737738	0.6665	0.6407
8	daily	3.959565e-04	2.134299	9.033522	3.888975	0.7096	0.5934
9	daily	3.941863e-04	2.086198	8.981337	3.808917	0.6930	0.6525
10	daily	3.921011e-04	2.027530	8.671397	3.845861	0.6764	0.5713
11	daily	3.897046e-04	2.003134	8.647953	4.112946	0.6704	0.6225
12	daily	3.870006e-04	1.951284	8.333158	3.970636	0.7035	0.6549
13	daily	3.839937e-04	1.938707	8.394986	3.931606	0.6867	0.6218
14	daily	3.806889e-04	1.899638	8.274825	3.850959	0.6667	0.6444
15	daily	3.770917e-04	1.877136	8.074369	4.122401	0.7021	0.6321
# SWA activated at epoch 15
16	swa	2.000000e-04	2.048056	8.750431	3.581740	0.7042	0.6553
17	swa	2.000000e-04	1.992314	8.555498	3.606529	0.7017	0.6545
18	swa	2.000000e-04	1.976469	8.473030	3.638724	0.6945	0.6644
19	swa	2.000000e-04	1.952230	8.397648	3.640159	0.7036	0.6674
20	swa	2.000000e-04	1.932763	8.353346	3.637246	0.7003	0.6726
21	swa	2.000000e-04	1.904474	8.236979	3.636590	0.6952	0.6679
22	swa	2.000000e-04	1.876337	8.074654	3.635849	0.6920	0.6673
23	swa	2.000000e-04	1.888340	8.242108	3.649326	0.6883	0.6583
24	swa	2.000000e-04	1.847237	8.011158	3.642796	0.6882	0.6586
25	swa	2.000000e-04	1.836408	7.945999	3.648439	0.6829	0.6504
26	swa	2.000000e-04	1.824004	7.932641	3.652241	0.6827	0.6539
# SWA converged at epoch 26
