epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge	tau	tau_eff	pi_0	pi_1
0	init_daily	0.000000e+00	nan	nan	1.488823	-0.1170	-0.9208	0.250000	0.250000	0.470770	0.529230
1	daily	1.600000e-04	0.689635	0.675918	0.612960	0.5969	0.6029	0.240642	0.240642	0.303082	0.696918
2	daily	2.800000e-04	0.399055	0.385218	0.474151	0.6970	0.6761	0.239030	0.239030	0.352276	0.647724
3	daily	4.000000e-04	0.330194	0.316474	0.436503	0.6870	0.6381	0.236706	0.236706	0.417507	0.582492
4	daily	3.998377e-04	0.302476	0.288858	0.406596	0.7095	0.7053	0.237139	0.237139	0.468796	0.531204
5	daily	3.993512e-04	0.283127	0.269484	0.390872	0.6994	0.7333	0.239089	0.239089	0.482907	0.517093
6	daily	3.985411e-04	0.271776	0.258070	0.386606	0.7227	0.7135	0.240105	0.240105	0.504597	0.495403
7	daily	3.974089e-04	0.263887	0.250134	0.392082	0.7024	0.6340	0.241344	0.241344	0.507312	0.492688
8	daily	3.959565e-04	0.259793	0.246024	0.385736	0.7271	0.7234	0.242485	0.242485	0.516350	0.483650
9	daily	3.941863e-04	0.252760	0.238980	0.391044	0.7082	0.6858	0.244362	0.244362	0.526970	0.473030
10	daily	3.921011e-04	0.248816	0.235029	0.363479	0.7350	0.7086	0.246324	0.246324	0.538924	0.461076
11	daily	3.897046e-04	0.244499	0.230701	0.376732	0.7472	0.7477	0.248258	0.248258	0.533933	0.466067
12	daily	3.870006e-04	0.242523	0.228724	0.381730	0.7371	0.6804	0.248612	0.248612	0.524806	0.475194
13	daily	3.839937e-04	0.238707	0.224903	0.384422	0.7336	0.7362	0.250941	0.250941	0.526449	0.473551
14	daily	3.806889e-04	0.237564	0.223762	0.367096	0.7656	0.7316	0.253029	0.253029	0.526232	0.473768
15	daily	3.770917e-04	0.234272	0.220461	0.364808	0.7387	0.7215	0.254148	0.254148	0.550232	0.449768
16	daily	3.732081e-04	0.229329	0.215516	0.361308	0.7582	0.7523	0.255619	0.255619	0.547754	0.452246
17	daily	3.690444e-04	0.229592	0.215772	0.361765	0.7435	0.7232	0.256907	0.256907	0.523134	0.476866
18	daily	3.646078e-04	0.229798	0.215981	0.366696	0.7559	0.7098	0.258656	0.258656	0.531222	0.468778
19	daily	3.599055e-04	0.226380	0.212558	0.363565	0.7535	0.7464	0.259471	0.259471	0.545739	0.454261
20	daily	3.549454e-04	0.226656	0.212829	0.363151	0.7811	0.7363	0.261501	0.261501	0.535534	0.464466
21	daily	3.497357e-04	0.224526	0.210704	0.379720	0.7409	0.7032	0.262206	0.262206	0.549021	0.450979
22	daily	3.442851e-04	0.222342	0.208517	0.364863	0.7574	0.7271	0.264991	0.264991	0.539505	0.460495
23	daily	3.386026e-04	0.220739	0.206908	0.364129	0.7345	0.7081	0.265317	0.265317	0.544242	0.455758
24	daily	3.326978e-04	0.219481	0.205649	0.399763	0.7650	0.6904	0.266162	0.266162	0.549631	0.450369
# SWA activated at epoch 24
25	swa	2.000000e-04	0.224198	0.210368	0.361028	0.7559	0.7218	0.254991	0.254991	0.536240	0.463760
26	swa	2.000000e-04	0.222753	0.208917	0.360102	0.7530	0.7142	0.254916	0.254916	0.543756	0.456244
27	swa	2.000000e-04	0.221806	0.207965	0.357231	0.7510	0.7363	0.254754	0.254754	0.541441	0.458559
28	swa	2.000000e-04	0.220154	0.206314	0.358431	0.7498	0.7462	0.254717	0.254717	0.542262	0.457738
29	swa	2.000000e-04	0.220272	0.206431	0.358241	0.7565	0.7374	0.254645	0.254645	0.542006	0.457994
30	swa	2.000000e-04	0.218797	0.204955	0.358720	0.7547	0.7370	0.254443	0.254443	0.542696	0.457304
31	swa	2.000000e-04	0.219013	0.205173	0.359189	0.7533	0.7426	0.254342	0.254342	0.541904	0.458096
32	swa	2.000000e-04	0.216331	0.202490	0.358396	0.7546	0.7502	0.254219	0.254219	0.541954	0.458046
33	swa	2.000000e-04	0.215337	0.201497	0.358857	0.7576	0.7462	0.254093	0.254093	0.541157	0.458843
34	swa	2.000000e-04	0.214218	0.200380	0.358219	0.7566	0.7488	0.254004	0.254004	0.542087	0.457913
35	swa	2.000000e-04	0.215095	0.201255	0.357640	0.7556	0.7553	0.253940	0.253940	0.541621	0.458379
36	swa	2.000000e-04	0.214283	0.200447	0.357499	0.7570	0.7566	0.253901	0.253901	0.541605	0.458395
37	swa	2.000000e-04	0.213946	0.200107	0.356995	0.7582	0.7545	0.253824	0.253824	0.541570	0.458430
# SWA converged at epoch 37
