epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	1.282983	-0.0435	-0.5842
1	daily	1.600000e-04	0.697418	0.697418	0.647997	0.5044	0.5139
2	daily	2.800000e-04	0.424336	0.424336	0.532628	0.6366	0.5701
3	daily	4.000000e-04	0.340758	0.340758	0.468112	0.6516	0.5544
4	daily	3.998377e-04	0.298850	0.298850	0.465559	0.6647	0.6197
5	daily	3.993512e-04	0.270332	0.270332	0.488977	0.6528	0.5732
6	daily	3.985411e-04	0.256678	0.256678	0.453789	0.6796	0.6092
7	daily	3.974089e-04	0.249049	0.249049	0.443854	0.7059	0.6276
8	daily	3.959565e-04	0.241089	0.241089	0.457611	0.6998	0.6356
9	daily	3.941863e-04	0.235711	0.235711	0.461074	0.7153	0.6060
10	daily	3.921011e-04	0.233575	0.233575	0.462458	0.7044	0.6505
11	daily	3.897046e-04	0.230623	0.230623	0.440616	0.7198	0.6404
12	daily	3.870006e-04	0.225891	0.225891	0.452700	0.7042	0.6468
13	daily	3.839937e-04	0.224489	0.224489	0.457932	0.7107	0.6451
14	daily	3.806889e-04	0.223049	0.223049	0.449003	0.7082	0.6527
15	daily	3.770917e-04	0.219923	0.219923	0.453435	0.7253	0.6473
16	daily	3.732081e-04	0.217359	0.217359	0.473999	0.6916	0.6328
17	daily	3.690444e-04	0.215424	0.215424	0.439577	0.7131	0.6760
18	daily	3.646078e-04	0.212725	0.212725	0.458761	0.7176	0.6592
19	daily	3.599055e-04	0.212669	0.212669	0.461493	0.7191	0.6470
20	daily	3.549454e-04	0.209706	0.209706	0.452812	0.7389	0.6355
21	daily	3.497357e-04	0.207773	0.207773	0.488782	0.7073	0.6371
22	daily	3.442851e-04	0.206487	0.206487	0.480220	0.7144	0.6151
23	daily	3.386026e-04	0.204781	0.204781	0.468940	0.7177	0.6594
24	daily	3.326978e-04	0.202468	0.202468	0.486901	0.7160	0.6554
25	daily	3.265805e-04	0.201934	0.201934	0.488751	0.7127	0.6534
# SWA activated at epoch 25
26	swa	2.000000e-04	0.207621	0.207621	0.450064	0.7227	0.6625
27	swa	2.000000e-04	0.203958	0.203958	0.454796	0.7152	0.6756
28	swa	2.000000e-04	0.202777	0.202777	0.455011	0.7299	0.6744
29	swa	2.000000e-04	0.202520	0.202520	0.454273	0.7373	0.6674
30	swa	2.000000e-04	0.199462	0.199462	0.453462	0.7344	0.6694
31	swa	2.000000e-04	0.201269	0.201269	0.453750	0.7365	0.6691
32	swa	2.000000e-04	0.199006	0.199006	0.454203	0.7260	0.6645
33	swa	2.000000e-04	0.196713	0.196713	0.452969	0.7265	0.6653
34	swa	2.000000e-04	0.195920	0.195920	0.456058	0.7312	0.6754
35	swa	2.000000e-04	0.195516	0.195516	0.457708	0.7312	0.6688
36	swa	2.000000e-04	0.194962	0.194962	0.458773	0.7333	0.6739
# SWA converged at epoch 36
