epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	14.642027	-0.0576	-0.4615
1	daily	1.600000e-04	5.813838	23.618079	5.729933	0.5612	0.5803
2	daily	2.800000e-04	3.350008	12.224007	4.923469	0.6151	0.6147
3	daily	4.000000e-04	2.793676	10.415297	4.647845	0.6595	0.6129
4	daily	3.998377e-04	2.494627	9.608663	4.636066	0.6425	0.6341
5	daily	3.993512e-04	2.250412	8.878101	4.543816	0.6501	0.6245
6	daily	3.985411e-04	2.119687	8.548665	4.642944	0.6104	0.5696
7	daily	3.974089e-04	2.033173	8.265779	4.546246	0.6552	0.5914
8	daily	3.959565e-04	1.968374	8.063810	4.891071	0.5947	0.5551
9	daily	3.941863e-04	1.916789	7.834220	4.489618	0.6478	0.6162
10	daily	3.921011e-04	1.879132	7.727139	4.278870	0.6642	0.6496
11	daily	3.897046e-04	1.829908	7.543347	4.236080	0.6412	0.6385
12	daily	3.870006e-04	1.812872	7.527528	4.158570	0.6754	0.6290
13	daily	3.839937e-04	1.790950	7.442129	4.172228	0.6787	0.6258
14	daily	3.806889e-04	1.760428	7.307030	4.275321	0.6996	0.6296
15	daily	3.770917e-04	1.742408	7.227269	4.325469	0.6561	0.6614
16	daily	3.732081e-04	1.741878	7.235121	4.277212	0.6676	0.6514
17	daily	3.690444e-04	1.729720	7.212649	4.317669	0.6721	0.6196
18	daily	3.646078e-04	1.707099	7.154136	4.498218	0.6855	0.6265
19	daily	3.599055e-04	1.676686	6.954046	4.265742	0.6875	0.6313
20	daily	3.549454e-04	1.685378	7.015608	4.228114	0.6728	0.6471
# SWA activated at epoch 20
21	swa	2.000000e-04	1.717437	7.216339	4.277008	0.6543	0.6371
22	swa	2.000000e-04	1.698378	7.118374	4.202709	0.6813	0.6584
23	swa	2.000000e-04	1.689771	7.071333	4.161497	0.6877	0.6453
24	swa	2.000000e-04	1.688256	7.091604	4.122318	0.6877	0.6515
25	swa	2.000000e-04	1.651693	6.915546	4.118730	0.6836	0.6420
26	swa	2.000000e-04	1.660454	6.943928	4.122417	0.6835	0.6359
27	swa	2.000000e-04	1.667124	7.059887	4.131816	0.6847	0.6375
28	swa	2.000000e-04	1.638219	6.858492	4.119575	0.6860	0.6370
29	swa	2.000000e-04	1.619957	6.772174	4.129424	0.6899	0.6403
30	swa	2.000000e-04	1.632788	6.882978	4.126407	0.6882	0.6363
31	swa	2.000000e-04	1.616538	6.783565	4.120158	0.6879	0.6331
32	swa	2.000000e-04	1.605430	6.707638	4.124146	0.6891	0.6317
33	swa	2.000000e-04	1.594622	6.682380	4.139335	0.6928	0.6437
34	swa	2.000000e-04	1.592535	6.650405	4.130014	0.6941	0.6444
# SWA converged at epoch 34
