epoch	phase	lr	train_crps	train_total	val_crps	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	0.542398	-0.0810	-0.8009
1	daily	5.600000e-05	0.388292	0.335978	0.202844	0.3908	0.3323
2	daily	9.200000e-05	0.240786	0.186858	0.159123	0.5353	0.6010
3	daily	1.280000e-04	0.202899	0.148544	0.151885	0.5884	0.5542
4	daily	1.640000e-04	0.183347	0.128766	0.136041	0.6364	0.6222
5	daily	2.000000e-04	0.172459	0.117779	0.133833	0.6719	0.6551
6	daily	1.999481e-04	0.164280	0.109546	0.134212	0.6760	0.6458
7	daily	1.997923e-04	0.157056	0.102293	0.135861	0.6639	0.6104
8	daily	1.995329e-04	0.152651	0.097866	0.131381	0.6850	0.6369
9	daily	1.991701e-04	0.149657	0.094863	0.132236	0.6806	0.6349
10	daily	1.987043e-04	0.148242	0.093438	0.134789	0.6784	0.6393
11	daily	1.981361e-04	0.146486	0.091676	0.134133	0.6724	0.6445
12	daily	1.974660e-04	0.147132	0.092316	0.135497	0.6755	0.6279
13	daily	1.966948e-04	0.148429	0.093616	0.138373	0.6131	0.5937
14	daily	1.958234e-04	0.149086	0.094275	0.137719	0.6531	0.6058
15	daily	1.948526e-04	0.148191	0.093377	0.137415	0.6490	0.6164
16	daily	1.937836e-04	0.147120	0.092312	0.138458	0.6400	0.5922
17	daily	1.926175e-04	0.146805	0.091994	0.139294	0.6349	0.6266
18	daily	1.913556e-04	0.146301	0.091487	0.140863	0.6219	0.6020
19	daily	1.899993e-04	0.146025	0.091211	0.146611	0.6601	0.5930
20	daily	1.885500e-04	0.145979	0.091162	0.143799	0.6561	0.5947
21	daily	1.870094e-04	0.145432	0.090610	0.135717	0.6706	0.6140
22	daily	1.853790e-04	0.144300	0.089479	0.136876	0.6433	0.6008
23	daily	1.836608e-04	0.143546	0.088723	0.138651	0.6645	0.5967
# Early stopping at epoch 23
