epoch	phase	lr	train_crps	train_total	val_crps	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	0.570464	-0.0523	-1.0209
1	daily	5.600000e-05	0.369057	0.317084	0.210045	0.4767	0.4289
2	daily	9.200000e-05	0.220113	0.166435	0.179195	0.6126	0.5187
3	daily	1.280000e-04	0.193271	0.139241	0.164492	0.6448	0.6179
4	daily	1.640000e-04	0.180671	0.126357	0.153265	0.6964	0.6337
5	daily	2.000000e-04	0.171860	0.117325	0.155078	0.6929	0.6278
6	daily	1.999481e-04	0.166891	0.112253	0.156729	0.7130	0.5559
7	daily	1.997923e-04	0.163518	0.108828	0.144151	0.7168	0.6885
8	daily	1.995329e-04	0.162205	0.107507	0.147675	0.7216	0.7264
9	daily	1.991701e-04	0.161441	0.106709	0.141062	0.7412	0.7080
10	daily	1.987043e-04	0.160126	0.105381	0.153420	0.7333	0.6918
11	daily	1.981361e-04	0.159560	0.104808	0.145377	0.7352	0.6587
12	daily	1.974660e-04	0.157606	0.102839	0.149250	0.7143	0.7387
13	daily	1.966948e-04	0.157281	0.102509	0.141647	0.7334	0.7078
14	daily	1.958234e-04	0.156982	0.102210	0.145049	0.7093	0.7391
15	daily	1.948526e-04	0.155375	0.100591	0.146403	0.7170	0.6973
16	daily	1.937836e-04	0.154685	0.099885	0.150749	0.7322	0.6746
17	daily	1.926175e-04	0.153962	0.099171	0.148705	0.7318	0.6954
18	daily	1.913556e-04	0.153455	0.098658	0.145337	0.7360	0.7345
19	daily	1.899993e-04	0.153311	0.098513	0.148866	0.7169	0.6925
20	daily	1.885500e-04	0.152797	0.097995	0.154197	0.7139	0.6624
21	daily	1.870094e-04	0.151141	0.096330	0.155752	0.7101	0.6163
22	daily	1.853790e-04	0.149758	0.094944	0.151788	0.7264	0.7063
23	daily	1.836608e-04	0.149589	0.094772	0.146858	0.7180	0.6998
24	daily	1.818566e-04	0.148899	0.094081	0.146911	0.7315	0.6843
# Early stopping at epoch 24
