epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	1.433425	-0.0775	-0.6394
1	daily	1.600000e-04	0.741243	0.741243	0.623197	0.5396	0.5758
2	daily	2.800000e-04	0.432120	0.432120	0.473715	0.6704	0.6543
3	daily	4.000000e-04	0.339860	0.339860	0.431889	0.7102	0.6572
4	daily	3.998377e-04	0.299904	0.299904	0.436230	0.7083	0.6306
5	daily	3.993512e-04	0.275033	0.275033	0.412831	0.6741	0.6755
6	daily	3.985411e-04	0.261147	0.261147	0.398143	0.7591	0.6796
7	daily	3.974089e-04	0.253382	0.253382	0.420372	0.7409	0.6779
8	daily	3.959565e-04	0.244489	0.244489	0.425277	0.7333	0.6759
9	daily	3.941863e-04	0.242899	0.242899	0.437034	0.7475	0.7024
10	daily	3.921011e-04	0.239271	0.239271	0.451027	0.7504	0.6887
11	daily	3.897046e-04	0.233189	0.233189	0.413708	0.7208	0.6715
12	daily	3.870006e-04	0.232595	0.232595	0.460509	0.7201	0.6874
13	daily	3.839937e-04	0.228747	0.228747	0.442975	0.7535	0.6861
14	daily	3.806889e-04	0.225840	0.225840	0.421391	0.7448	0.6762
# SWA activated at epoch 14
15	swa	2.000000e-04	0.247034	0.247034	0.413228	0.7456	0.6986
16	swa	2.000000e-04	0.241603	0.241603	0.417510	0.7467	0.7020
17	swa	2.000000e-04	0.241013	0.241013	0.417182	0.7619	0.7140
18	swa	2.000000e-04	0.235958	0.235958	0.416937	0.7586	0.7060
19	swa	2.000000e-04	0.234350	0.234350	0.418300	0.7617	0.7001
20	swa	2.000000e-04	0.231303	0.231303	0.415951	0.7641	0.7003
21	swa	2.000000e-04	0.231303	0.231303	0.416194	0.7630	0.6961
22	swa	2.000000e-04	0.226883	0.226883	0.418231	0.7639	0.6941
23	swa	2.000000e-04	0.225616	0.225616	0.419833	0.7630	0.6955
24	swa	2.000000e-04	0.222938	0.222938	0.422197	0.7668	0.7001
25	swa	2.000000e-04	0.222263	0.222263	0.423355	0.7680	0.7062
# SWA converged at epoch 25
