epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	1.666517	-0.0264	-0.5005
1	daily	1.600000e-04	0.689621	0.689621	0.758474	0.5298	0.4653
2	daily	2.800000e-04	0.407432	0.407432	0.504389	0.6586	0.6535
3	daily	4.000000e-04	0.318109	0.318109	0.442905	0.7108	0.6859
4	daily	3.998377e-04	0.282759	0.282759	0.422872	0.7241	0.6861
5	daily	3.993512e-04	0.260028	0.260028	0.449311	0.7333	0.6984
6	daily	3.985411e-04	0.245943	0.245943	0.408921	0.7565	0.7119
7	daily	3.974089e-04	0.238131	0.238131	0.424487	0.7172	0.7258
8	daily	3.959565e-04	0.232373	0.232373	0.406768	0.7460	0.7235
9	daily	3.941863e-04	0.225939	0.225939	0.402620	0.7640	0.7259
10	daily	3.921011e-04	0.223833	0.223833	0.380671	0.7557	0.7172
11	daily	3.897046e-04	0.221379	0.221379	0.392709	0.7735	0.7453
12	daily	3.870006e-04	0.216526	0.216526	0.387586	0.7765	0.7355
13	daily	3.839937e-04	0.213688	0.213688	0.411334	0.7642	0.7437
14	daily	3.806889e-04	0.215508	0.215508	0.391667	0.7796	0.7449
15	daily	3.770917e-04	0.209451	0.209451	0.395922	0.7701	0.7384
16	daily	3.732081e-04	0.208234	0.208234	0.389927	0.7779	0.7266
17	daily	3.690444e-04	0.208407	0.208407	0.404678	0.7562	0.7232
18	daily	3.646078e-04	0.204246	0.204246	0.404025	0.7694	0.7563
# SWA activated at epoch 18
19	swa	2.000000e-04	0.212274	0.212274	0.382882	0.7692	0.7458
20	swa	2.000000e-04	0.212225	0.212225	0.387057	0.7748	0.7281
21	swa	2.000000e-04	0.209074	0.209074	0.384193	0.7760	0.7446
22	swa	2.000000e-04	0.208128	0.208128	0.384456	0.7793	0.7478
23	swa	2.000000e-04	0.205239	0.205239	0.383272	0.7803	0.7471
24	swa	2.000000e-04	0.204604	0.204604	0.383447	0.7817	0.7441
25	swa	2.000000e-04	0.204758	0.204758	0.383125	0.7832	0.7456
26	swa	2.000000e-04	0.203230	0.203230	0.382234	0.7839	0.7462
27	swa	2.000000e-04	0.201886	0.201886	0.381432	0.7856	0.7445
28	swa	2.000000e-04	0.202591	0.202591	0.380633	0.7868	0.7367
29	swa	2.000000e-04	0.199056	0.199056	0.379407	0.7866	0.7404
30	swa	2.000000e-04	0.199485	0.199485	0.379185	0.7887	0.7407
31	swa	2.000000e-04	0.197240	0.197240	0.379433	0.7894	0.7399
32	swa	2.000000e-04	0.197393	0.197393	0.379495	0.7898	0.7466
33	swa	2.000000e-04	0.196303	0.196303	0.379004	0.7889	0.7493
34	swa	2.000000e-04	0.195531	0.195531	0.378917	0.7907	0.7515
35	swa	2.000000e-04	0.194925	0.194925	0.378353	0.7895	0.7548
36	swa	2.000000e-04	0.196126	0.196126	0.378042	0.7892	0.7570
37	swa	2.000000e-04	0.193568	0.193568	0.377630	0.7909	0.7588
38	swa	2.000000e-04	0.194117	0.194117	0.376945	0.7896	0.7597
39	swa	2.000000e-04	0.192532	0.192532	0.376296	0.7916	0.7614
40	swa	2.000000e-04	0.194279	0.194279	0.376426	0.7912	0.7612
41	swa	2.000000e-04	0.193742	0.193742	0.376290	0.7925	0.7621
42	swa	2.000000e-04	0.189233	0.189233	0.376240	0.7919	0.7613
43	swa	2.000000e-04	0.190727	0.190727	0.375765	0.7910	0.7611
44	swa	2.000000e-04	0.190644	0.190644	0.376275	0.7907	0.7613
45	swa	2.000000e-04	0.188610	0.188610	0.376414	0.7898	0.7621
46	swa	2.000000e-04	0.190181	0.190181	0.376877	0.7895	0.7622
47	swa	2.000000e-04	0.190009	0.190009	0.376521	0.7889	0.7631
48	swa	2.000000e-04	0.191947	0.191947	0.377304	0.7894	0.7645
49	swa	2.000000e-04	0.188570	0.188570	0.377374	0.7885	0.7653
50	swa	2.000000e-04	0.189166	0.189166	0.377957	0.7877	0.7658
51	swa	2.000000e-04	0.190757	0.190757	0.378070	0.7862	0.7656
52	swa	2.000000e-04	0.191359	0.191359	0.377843	0.7864	0.7660
53	swa	2.000000e-04	0.189450	0.189450	0.377960	0.7855	0.7658
# SWA converged at epoch 53
