epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	14.716892	-0.0643	-0.4810
1	daily	1.600000e-04	6.321306	25.139016	4.888179	0.4934	0.4455
2	daily	2.800000e-04	3.620046	13.944836	4.558232	0.5354	0.4487
3	daily	4.000000e-04	3.036851	12.034950	4.933303	0.6170	0.5913
4	daily	3.998377e-04	2.753255	11.077673	4.396689	0.6386	0.5854
5	daily	3.993512e-04	2.473757	10.205608	4.771375	0.6243	0.6632
6	daily	3.985411e-04	2.342795	9.837910	4.707185	0.6558	0.5936
7	daily	3.974089e-04	2.243149	9.490531	4.513107	0.6525	0.6474
8	daily	3.959565e-04	2.174690	9.367800	4.292786	0.6407	0.5373
9	daily	3.941863e-04	2.123903	9.164678	4.434039	0.6399	0.6617
10	daily	3.921011e-04	2.059063	8.958582	4.426019	0.6628	0.6744
11	daily	3.897046e-04	2.049358	8.936467	5.275459	0.6373	0.5639
12	daily	3.870006e-04	2.011350	8.757935	4.668498	0.6553	0.6118
13	daily	3.839937e-04	1.978862	8.659839	5.445563	0.6367	0.6555
14	daily	3.806889e-04	1.953244	8.505464	4.803376	0.6753	0.6628
15	daily	3.770917e-04	1.944390	8.487280	4.836436	0.6392	0.6249
16	daily	3.732081e-04	1.945614	8.609664	4.598623	0.6737	0.6320
# SWA activated at epoch 16
17	swa	2.000000e-04	2.028417	8.830082	5.065143	0.6786	0.6629
18	swa	2.000000e-04	1.998948	8.747280	4.793431	0.6926	0.6724
19	swa	2.000000e-04	1.982108	8.678521	4.686875	0.6971	0.6640
20	swa	2.000000e-04	1.950802	8.535751	4.693747	0.7003	0.6511
21	swa	2.000000e-04	1.954132	8.566112	4.759413	0.6994	0.6567
22	swa	2.000000e-04	1.924689	8.429543	4.748028	0.6957	0.6611
23	swa	2.000000e-04	1.941295	8.589444	4.713901	0.6990	0.6688
24	swa	2.000000e-04	1.905422	8.378835	4.739583	0.6920	0.6670
25	swa	2.000000e-04	1.889260	8.257751	4.716366	0.7014	0.6634
26	swa	2.000000e-04	1.870838	8.151658	4.706662	0.7019	0.6597
27	swa	2.000000e-04	1.867391	8.216122	4.718689	0.7019	0.6622
28	swa	2.000000e-04	1.859135	8.142446	4.714349	0.7027	0.6615
29	swa	2.000000e-04	1.846598	8.125430	4.737810	0.7009	0.6651
# SWA converged at epoch 29
