epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	1.897522	-0.1271	-0.7157
1	daily	1.600000e-04	0.709061	0.709061	1.027590	0.4439	0.4514
2	daily	2.800000e-04	0.399316	0.399316	0.770642	0.6266	0.6127
3	daily	4.000000e-04	0.310796	0.310796	0.710535	0.6618	0.6275
4	daily	3.998377e-04	0.273887	0.273887	0.680920	0.7071	0.6773
5	daily	3.993512e-04	0.247402	0.247402	0.653013	0.7042	0.6830
6	daily	3.985411e-04	0.232046	0.232046	0.643475	0.7226	0.6814
7	daily	3.974089e-04	0.224891	0.224891	0.644591	0.7197	0.6487
8	daily	3.959565e-04	0.215795	0.215795	0.653898	0.6856	0.6628
9	daily	3.941863e-04	0.211805	0.211805	0.635304	0.7126	0.6733
10	daily	3.921011e-04	0.205511	0.205511	0.635950	0.7337	0.6721
11	daily	3.897046e-04	0.203706	0.203706	0.621387	0.7122	0.6365
12	daily	3.870006e-04	0.203126	0.203126	0.631216	0.6904	0.5850
13	daily	3.839937e-04	0.198249	0.198249	0.659552	0.6853	0.6854
14	daily	3.806889e-04	0.195933	0.195933	0.639808	0.6895	0.6314
15	daily	3.770917e-04	0.194195	0.194195	0.636245	0.6801	0.6370
16	daily	3.732081e-04	0.192285	0.192285	0.617063	0.6814	0.6516
17	daily	3.690444e-04	0.191040	0.191040	0.645257	0.6755	0.5936
18	daily	3.646078e-04	0.187053	0.187053	0.633792	0.7075	0.6368
19	daily	3.599055e-04	0.186829	0.186829	0.629320	0.7111	0.6570
20	daily	3.549454e-04	0.184561	0.184561	0.641282	0.6885	0.6280
21	daily	3.497357e-04	0.184964	0.184964	0.644293	0.6968	0.6764
22	daily	3.442851e-04	0.182569	0.182569	0.610676	0.6945	0.6395
23	daily	3.386026e-04	0.181775	0.181775	0.634562	0.6724	0.6039
24	daily	3.326978e-04	0.179920	0.179920	0.631127	0.6823	0.6432
25	daily	3.265805e-04	0.180399	0.180399	0.618859	0.6994	0.6532
26	daily	3.202608e-04	0.178240	0.178240	0.632532	0.7017	0.6407
27	daily	3.137493e-04	0.175764	0.175764	0.629020	0.6847	0.6206
28	daily	3.070568e-04	0.176562	0.176562	0.646919	0.6936	0.6129
29	daily	3.001944e-04	0.173456	0.173456	0.634049	0.6991	0.6267
30	daily	2.931735e-04	0.172444	0.172444	0.628930	0.7023	0.6494
# SWA activated at epoch 30
31	swa	2.000000e-04	0.176700	0.176700	0.608928	0.6855	0.6378
32	swa	2.000000e-04	0.173647	0.173647	0.614957	0.6835	0.6259
33	swa	2.000000e-04	0.172632	0.172632	0.616997	0.6965	0.6252
34	swa	2.000000e-04	0.174652	0.174652	0.613372	0.6920	0.6116
35	swa	2.000000e-04	0.173689	0.173689	0.615355	0.6839	0.6109
36	swa	2.000000e-04	0.172122	0.172122	0.617260	0.6838	0.6053
37	swa	2.000000e-04	0.171673	0.171673	0.617192	0.6833	0.6056
38	swa	2.000000e-04	0.170673	0.170673	0.616836	0.6852	0.6167
39	swa	2.000000e-04	0.168710	0.168710	0.616877	0.6869	0.6152
40	swa	2.000000e-04	0.169957	0.169957	0.616213	0.6899	0.6235
41	swa	2.000000e-04	0.167540	0.167540	0.614248	0.6935	0.6273
# SWA converged at epoch 41
