epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init	0.000000e+00	nan	nan	2.126305	-0.5767	-1.1910
1	train	1.600000e-04	0.952916	3.583217	0.794659	0.4630	0.5711
2	train	2.800000e-04	0.590584	2.277864	0.563661	0.6664	0.6587
3	train	4.000000e-04	0.501006	1.983121	0.554519	0.6447	0.6686
4	train	3.998377e-04	0.442864	1.818134	0.527926	0.6898	0.7138
5	train	3.993512e-04	0.402980	1.696794	0.518800	0.7160	0.6991
6	train	3.985411e-04	0.379160	1.599757	0.500308	0.7282	0.7174
7	train	3.974089e-04	0.364502	1.565855	0.497095	0.7091	0.6932
8	train	3.959565e-04	0.356636	1.554156	0.538741	0.6637	0.6686
9	train	3.941863e-04	0.344787	1.497484	0.496294	0.7340	0.6932
10	train	3.921011e-04	0.341035	1.493276	0.491136	0.7277	0.7217
11	train	3.897046e-04	0.333672	1.462927	0.496282	0.7232	0.7289
12	train	3.870006e-04	0.329035	1.446502	0.491745	0.7240	0.7377
13	train	3.839937e-04	0.328669	1.454351	0.475175	0.7228	0.7049
14	train	3.806889e-04	0.326181	1.447275	0.484979	0.7230	0.7078
15	train	3.770917e-04	0.315927	1.384268	0.467963	0.7237	0.7228
16	train	3.732081e-04	0.310768	1.362135	0.473588	0.7254	0.7185
17	train	3.690444e-04	0.305732	1.341961	0.512296	0.7425	0.7429
18	train	3.646078e-04	0.309452	1.364456	0.506493	0.7460	0.6801
19	train	3.599055e-04	0.300244	1.307693	0.509311	0.7474	0.7316
20	train	3.549454e-04	0.302088	1.335272	0.501390	0.7228	0.7175
21	train	3.497357e-04	0.301018	1.324630	0.523927	0.7403	0.7394
22	train	3.442851e-04	0.299964	1.337491	0.502784	0.7378	0.7291
23	train	3.386026e-04	0.293936	1.290314	0.510037	0.7329	0.7303
# SWA activated at epoch 23
24	swa	2.693013e-04	0.313973	1.393191	0.484355	0.7558	0.7258
25	swa	2.000000e-04	0.305662	1.355197	0.473885	0.7575	0.7383
26	swa	2.000000e-04	0.298245	1.327276	0.471825	0.7596	0.7464
27	swa	2.000000e-04	0.294545	1.306837	0.474340	0.7545	0.7558
28	swa	2.000000e-04	0.291895	1.289687	0.475486	0.7536	0.7475
29	swa	2.000000e-04	0.293501	1.313966	0.475262	0.7524	0.7513
30	swa	2.000000e-04	0.296596	1.335326	0.474448	0.7521	0.7468
31	swa	2.000000e-04	0.289875	1.298037	0.474688	0.7554	0.7504
32	swa	2.000000e-04	0.290888	1.295240	0.475018	0.7565	0.7560
33	swa	2.000000e-04	0.288957	1.286067	0.474631	0.7572	0.7525
34	swa	2.000000e-04	0.287222	1.283091	0.476464	0.7592	0.7483
35	swa	2.000000e-04	0.290110	1.302472	0.475606	0.7583	0.7528
36	swa	2.000000e-04	0.286684	1.287119	0.476307	0.7568	0.7527
# SWA converged at epoch 36
