epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge	tau	tau_eff	pi_0	pi_1
0	init_daily	0.000000e+00	nan	nan	1.398853	-0.0575	-0.5007	0.250000	0.250000	0.574277	0.425723
1	daily	1.600000e-04	0.674245	0.661958	0.596748	0.5928	0.5695	0.243389	0.243389	0.508314	0.491686
2	daily	2.800000e-04	0.410177	0.397169	0.510623	0.6185	0.6266	0.242483	0.242483	0.523496	0.476504
3	daily	4.000000e-04	0.340295	0.327262	0.452120	0.6787	0.6675	0.243921	0.243921	0.562597	0.437403
4	daily	3.998377e-04	0.306961	0.293708	0.419378	0.6971	0.6215	0.248968	0.248968	0.557331	0.442669
5	daily	3.993512e-04	0.284824	0.271376	0.419062	0.6836	0.6717	0.256258	0.256258	0.530298	0.469702
6	daily	3.985411e-04	0.272196	0.258602	0.451350	0.6812	0.6966	0.262226	0.262226	0.523672	0.476328
7	daily	3.974089e-04	0.265141	0.251497	0.444799	0.6894	0.6957	0.268353	0.268353	0.522156	0.477844
8	daily	3.959565e-04	0.258209	0.244540	0.431374	0.6642	0.6509	0.272614	0.272614	0.524324	0.475676
9	daily	3.941863e-04	0.253139	0.239452	0.434291	0.6897	0.6708	0.277827	0.277827	0.516271	0.483729
10	daily	3.921011e-04	0.248704	0.234993	0.427891	0.6902	0.6666	0.281905	0.281905	0.522657	0.477343
11	daily	3.897046e-04	0.246356	0.232638	0.437082	0.6891	0.7009	0.286533	0.286533	0.525075	0.474925
12	daily	3.870006e-04	0.240890	0.227184	0.430152	0.6999	0.6463	0.290821	0.290821	0.528030	0.471970
# SWA activated at epoch 12
13	swa	2.000000e-04	0.277581	0.264133	0.408882	0.6938	0.6764	0.249512	0.249512	0.537649	0.462352
14	swa	2.000000e-04	0.268988	0.255439	0.412527	0.6994	0.6963	0.250764	0.250764	0.531607	0.468393
15	swa	2.000000e-04	0.261468	0.247868	0.410134	0.6810	0.6791	0.251457	0.251457	0.528478	0.471522
16	swa	2.000000e-04	0.256122	0.242467	0.411882	0.6996	0.6795	0.252143	0.252143	0.527120	0.472880
17	swa	2.000000e-04	0.253738	0.240052	0.416338	0.6950	0.7002	0.252905	0.252905	0.526288	0.473712
18	swa	2.000000e-04	0.251117	0.237408	0.418206	0.6961	0.7030	0.253694	0.253694	0.523796	0.476204
19	swa	2.000000e-04	0.249189	0.235463	0.417061	0.6961	0.7034	0.254499	0.254499	0.523338	0.476662
20	swa	2.000000e-04	0.245490	0.231755	0.417569	0.6900	0.6959	0.255290	0.255290	0.523012	0.476988
21	swa	2.000000e-04	0.244187	0.230447	0.419789	0.6918	0.6907	0.256004	0.256004	0.522374	0.477626
22	swa	2.000000e-04	0.243628	0.229885	0.421389	0.6930	0.6874	0.256664	0.256664	0.522043	0.477957
23	swa	2.000000e-04	0.239945	0.226200	0.423498	0.6830	0.6961	0.257347	0.257347	0.521653	0.478347
# SWA converged at epoch 23
