epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge	tau	tau_eff	pi_0	pi_1
0	init_daily	0.000000e+00	nan	nan	1.859309	-0.0958	-0.8108	0.250000	0.250000	0.475586	0.524414
1	daily	1.600000e-04	0.607083	0.594826	0.940719	0.5639	0.5744	0.245516	0.245516	0.427848	0.572152
2	daily	2.800000e-04	0.367537	0.355132	0.791851	0.6416	0.5793	0.245007	0.245007	0.437340	0.562660
3	daily	4.000000e-04	0.298586	0.285761	0.727851	0.6640	0.6403	0.246086	0.246086	0.409754	0.590246
4	daily	3.998377e-04	0.266985	0.253813	0.716437	0.6398	0.6035	0.249982	0.249982	0.424688	0.575312
5	daily	3.993512e-04	0.248496	0.235078	0.694239	0.6641	0.6258	0.254672	0.254672	0.440111	0.559889
6	daily	3.985411e-04	0.236647	0.223086	0.695752	0.6651	0.6142	0.260140	0.260140	0.441761	0.558239
7	daily	3.974089e-04	0.228491	0.214860	0.706016	0.6336	0.6210	0.264313	0.264313	0.449459	0.550541
8	daily	3.959565e-04	0.223123	0.209444	0.694495	0.6442	0.6215	0.267829	0.267829	0.451233	0.548767
9	daily	3.941863e-04	0.218192	0.204491	0.681117	0.7019	0.6594	0.272182	0.272182	0.440874	0.559126
10	daily	3.921011e-04	0.214013	0.200310	0.706488	0.6543	0.5753	0.275723	0.275723	0.451481	0.548519
11	daily	3.897046e-04	0.210417	0.196696	0.711845	0.6954	0.6426	0.278035	0.278035	0.454695	0.545305
12	daily	3.870006e-04	0.208244	0.194511	0.671468	0.7187	0.6691	0.280000	0.280000	0.455264	0.544736
13	daily	3.839937e-04	0.204541	0.190798	0.699332	0.6969	0.6778	0.283202	0.283202	0.445330	0.554670
14	daily	3.806889e-04	0.202425	0.188680	0.678198	0.7080	0.6509	0.286509	0.286509	0.454380	0.545620
15	daily	3.770917e-04	0.200414	0.186658	0.698049	0.7044	0.6354	0.289054	0.289054	0.450480	0.549520
16	daily	3.732081e-04	0.198814	0.185051	0.687607	0.6961	0.6551	0.290215	0.290215	0.442631	0.557369
17	daily	3.690444e-04	0.195444	0.181676	0.678671	0.6774	0.5786	0.292991	0.292991	0.447447	0.552553
18	daily	3.646078e-04	0.194423	0.180658	0.642925	0.7145	0.6358	0.295253	0.295253	0.444023	0.555977
19	daily	3.599055e-04	0.193172	0.179388	0.662414	0.7191	0.6606	0.297375	0.297375	0.456148	0.543852
20	daily	3.549454e-04	0.192860	0.179071	0.659747	0.7321	0.6771	0.299487	0.299487	0.457264	0.542736
21	daily	3.497357e-04	0.192655	0.178862	0.648915	0.7176	0.6490	0.300286	0.300286	0.452934	0.547066
22	daily	3.442851e-04	0.189420	0.175626	0.630403	0.7086	0.6418	0.301691	0.301691	0.454371	0.545629
23	daily	3.386026e-04	0.187887	0.174093	0.636534	0.7078	0.6297	0.302925	0.302925	0.455347	0.544653
24	daily	3.326978e-04	0.188441	0.174633	0.649402	0.7219	0.6725	0.304420	0.304420	0.462801	0.537199
25	daily	3.265805e-04	0.187262	0.173454	0.649163	0.7166	0.6849	0.305540	0.305540	0.449999	0.550001
26	daily	3.202608e-04	0.187086	0.173278	0.644354	0.7111	0.6293	0.306684	0.306684	0.443873	0.556127
27	daily	3.137493e-04	0.184564	0.170760	0.618280	0.7202	0.6806	0.307638	0.307638	0.448284	0.551716
28	daily	3.070568e-04	0.183929	0.170120	0.661448	0.7052	0.6764	0.308113	0.308113	0.453725	0.546275
29	daily	3.001944e-04	0.183765	0.169959	0.641856	0.7015	0.6710	0.309202	0.309202	0.460912	0.539088
30	daily	2.931735e-04	0.181988	0.168186	0.676312	0.7171	0.6579	0.309140	0.309140	0.449773	0.550227
31	daily	2.860059e-04	0.183129	0.169327	0.647507	0.7257	0.6648	0.309943	0.309943	0.447725	0.552275
32	daily	2.787035e-04	0.180296	0.166486	0.649754	0.7244	0.6795	0.310887	0.310887	0.458471	0.541529
33	daily	2.712784e-04	0.179494	0.165684	0.654561	0.7155	0.6450	0.311440	0.311440	0.448565	0.551435
34	daily	2.637430e-04	0.178841	0.165031	0.668408	0.7292	0.6758	0.311775	0.311775	0.462570	0.537430
35	daily	2.561098e-04	0.179176	0.165363	0.641056	0.7321	0.6694	0.312200	0.312200	0.452582	0.547418
# SWA activated at epoch 35
36	swa	2.000000e-04	0.180918	0.167114	0.696164	0.7193	0.6820	0.307583	0.307583	0.454374	0.545626
37	swa	2.000000e-04	0.179718	0.165907	0.667914	0.7245	0.6810	0.307397	0.307397	0.454224	0.545776
38	swa	2.000000e-04	0.178933	0.165125	0.667804	0.7240	0.6887	0.307370	0.307370	0.454564	0.545436
39	swa	2.000000e-04	0.178316	0.164507	0.665296	0.7266	0.6799	0.307237	0.307237	0.455386	0.544614
40	swa	2.000000e-04	0.178993	0.165182	0.663741	0.7256	0.6890	0.307080	0.307080	0.455588	0.544412
41	swa	2.000000e-04	0.177965	0.164149	0.664302	0.7240	0.6961	0.306893	0.306893	0.455649	0.544351
42	swa	2.000000e-04	0.176800	0.162987	0.663344	0.7243	0.6935	0.306781	0.306781	0.455770	0.544230
43	swa	2.000000e-04	0.177284	0.163468	0.662332	0.7257	0.6950	0.306713	0.306713	0.456529	0.543471
44	swa	2.000000e-04	0.177017	0.163202	0.660033	0.7271	0.6914	0.306652	0.306652	0.456702	0.543298
45	swa	2.000000e-04	0.176629	0.162815	0.659571	0.7288	0.6924	0.306557	0.306557	0.457154	0.542846
46	swa	2.000000e-04	0.176812	0.162995	0.657888	0.7285	0.6890	0.306490	0.306490	0.456395	0.543605
47	swa	2.000000e-04	0.173888	0.160072	0.658097	0.7299	0.6861	0.306383	0.306383	0.456360	0.543640
48	swa	2.000000e-04	0.174677	0.160863	0.656675	0.7278	0.6833	0.306261	0.306261	0.456128	0.543872
49	swa	2.000000e-04	0.175121	0.161308	0.657687	0.7281	0.6786	0.306191	0.306191	0.456174	0.543826
50	swa	2.000000e-04	0.172650	0.158841	0.657029	0.7269	0.6732	0.306090	0.306090	0.455797	0.544203
51	swa	2.000000e-04	0.173644	0.159831	0.656792	0.7270	0.6812	0.306009	0.306009	0.455946	0.544054
52	swa	2.000000e-04	0.173389	0.159577	0.654731	0.7280	0.6799	0.305938	0.305938	0.455792	0.544208
53	swa	2.000000e-04	0.174693	0.160878	0.654492	0.7254	0.6782	0.305882	0.305882	0.455689	0.544311
54	swa	2.000000e-04	0.173395	0.159582	0.654722	0.7234	0.6778	0.305800	0.305800	0.455612	0.544388
55	swa	2.000000e-04	0.173288	0.159472	0.653991	0.7210	0.6681	0.305717	0.305717	0.455718	0.544282
56	swa	2.000000e-04	0.173132	0.159317	0.652035	0.7211	0.6710	0.305623	0.305623	0.455455	0.544545
57	swa	2.000000e-04	0.171879	0.158063	0.651372	0.7201	0.6670	0.305527	0.305527	0.455404	0.544595
58	swa	2.000000e-04	0.171903	0.158090	0.651492	0.7198	0.6613	0.305464	0.305464	0.455528	0.544472
59	swa	2.000000e-04	0.171444	0.157633	0.651450	0.7199	0.6632	0.305417	0.305417	0.455459	0.544541
60	swa	2.000000e-04	0.171908	0.158094	0.651407	0.7203	0.6644	0.305364	0.305364	0.455278	0.544722
61	swa	2.000000e-04	0.171512	0.157696	0.651965	0.7195	0.6624	0.305311	0.305311	0.455324	0.544676
62	swa	2.000000e-04	0.171063	0.157251	0.651923	0.7196	0.6681	0.305257	0.305257	0.455255	0.544745
63	swa	2.000000e-04	0.170510	0.156701	0.649710	0.7210	0.6704	0.305226	0.305226	0.455312	0.544688
64	swa	2.000000e-04	0.170689	0.156878	0.650027	0.7203	0.6681	0.305199	0.305199	0.455778	0.544222
65	swa	2.000000e-04	0.170170	0.156355	0.650570	0.7207	0.6763	0.305182	0.305182	0.455739	0.544261
66	swa	2.000000e-04	0.170181	0.156368	0.651369	0.7196	0.6761	0.305179	0.305179	0.455865	0.544135
67	swa	2.000000e-04	0.168900	0.155087	0.650044	0.7197	0.6751	0.305137	0.305137	0.456175	0.543825
68	swa	2.000000e-04	0.169954	0.156138	0.650159	0.7234	0.6689	0.305130	0.305130	0.456111	0.543889
69	swa	2.000000e-04	0.168108	0.154288	0.650124	0.7228	0.6678	0.305104	0.305104	0.456157	0.543844
70	swa	2.000000e-04	0.169799	0.155984	0.649205	0.7260	0.6703	0.305104	0.305104	0.456237	0.543763
71	swa	2.000000e-04	0.167706	0.153894	0.649714	0.7269	0.6718	0.305079	0.305079	0.456048	0.543952
72	swa	2.000000e-04	0.169006	0.155189	0.649189	0.7274	0.6769	0.305053	0.305053	0.455996	0.544004
73	swa	2.000000e-04	0.168582	0.154766	0.650020	0.7267	0.6759	0.305066	0.305066	0.455979	0.544021
# SWA converged at epoch 73
