epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	1.766440	-0.4044	-1.1760
1	daily	1.600000e-04	0.899507	3.398674	0.585708	0.5665	0.5627
2	daily	2.800000e-04	0.579697	2.282956	0.459906	0.6754	0.6748
3	daily	4.000000e-04	0.476061	1.946208	0.432772	0.6850	0.5513
4	daily	3.998377e-04	0.427336	1.797935	0.407510	0.7065	0.6962
5	daily	3.993512e-04	0.397220	1.704555	0.425338	0.6959	0.6188
6	daily	3.985411e-04	0.371583	1.601375	0.402788	0.7457	0.6848
7	daily	3.974089e-04	0.353175	1.539013	0.413519	0.7217	0.6897
8	daily	3.959565e-04	0.345646	1.518942	0.400037	0.7426	0.7123
9	daily	3.941863e-04	0.339882	1.496574	0.404796	0.7516	0.7228
10	daily	3.921011e-04	0.329894	1.462404	0.423283	0.7517	0.6911
11	daily	3.897046e-04	0.331548	1.479252	0.421189	0.7478	0.7246
12	daily	3.870006e-04	0.322711	1.431863	0.396476	0.7526	0.6874
13	daily	3.839937e-04	0.316684	1.395054	0.412793	0.7272	0.6860
14	daily	3.806889e-04	0.315595	1.404541	0.388515	0.7584	0.7519
15	daily	3.770917e-04	0.315379	1.412920	0.406016	0.7370	0.7071
16	daily	3.732081e-04	0.310108	1.386485	0.397007	0.7655	0.7407
17	daily	3.690444e-04	0.304106	1.353102	0.393667	0.7289	0.7010
18	daily	3.646078e-04	0.301813	1.348860	0.418025	0.7432	0.7275
19	daily	3.599055e-04	0.300912	1.350749	0.396965	0.7420	0.7180
20	daily	3.549454e-04	0.297637	1.332394	0.397887	0.7610	0.7073
21	daily	3.497357e-04	0.296340	1.322707	0.415709	0.7637	0.7077
22	daily	3.442851e-04	0.293075	1.314571	0.414867	0.7582	0.7101
# SWA activated at epoch 22
23	swa	2.000000e-04	0.302818	1.367882	0.404365	0.7320	0.7183
24	swa	2.000000e-04	0.299067	1.338486	0.400867	0.7424	0.7198
25	swa	2.000000e-04	0.294561	1.314943	0.398616	0.7395	0.7157
26	swa	2.000000e-04	0.288560	1.287440	0.401691	0.7478	0.7183
27	swa	2.000000e-04	0.289082	1.289759	0.400514	0.7436	0.7118
28	swa	2.000000e-04	0.289998	1.293478	0.400059	0.7455	0.7147
29	swa	2.000000e-04	0.287456	1.282373	0.400502	0.7460	0.7172
30	swa	2.000000e-04	0.286238	1.292785	0.399733	0.7496	0.7128
31	swa	2.000000e-04	0.281666	1.257341	0.399957	0.7501	0.7203
32	swa	2.000000e-04	0.282651	1.271656	0.401015	0.7537	0.7206
33	swa	2.000000e-04	0.281532	1.267225	0.403217	0.7550	0.7237
34	swa	2.000000e-04	0.278191	1.245330	0.403969	0.7589	0.7166
35	swa	2.000000e-04	0.278052	1.248334	0.405025	0.7578	0.7167
# SWA converged at epoch 35
