epoch	phase	lr	train_crps	train_total	val_crps	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	0.560295	-0.1142	-1.0183
1	daily	5.600000e-05	0.400067	0.347696	0.195767	0.4157	0.4341
2	daily	9.200000e-05	0.235359	0.181532	0.171009	0.5808	0.5942
3	daily	1.280000e-04	0.204169	0.149848	0.170824	0.5938	0.5160
4	daily	1.640000e-04	0.187552	0.133032	0.159988	0.6653	0.6344
5	daily	2.000000e-04	0.177864	0.123222	0.163013	0.6522	0.6261
6	daily	1.999481e-04	0.171934	0.117225	0.157561	0.6387	0.6600
7	daily	1.997923e-04	0.166619	0.111859	0.158229	0.6505	0.6814
8	daily	1.995329e-04	0.162705	0.107915	0.155428	0.6596	0.6572
9	daily	1.991701e-04	0.160483	0.105669	0.156604	0.6604	0.6784
10	daily	1.987043e-04	0.160493	0.105667	0.157000	0.6358	0.6519
11	daily	1.981361e-04	0.160085	0.105255	0.154006	0.6793	0.6793
12	daily	1.974660e-04	0.159685	0.104848	0.159162	0.6471	0.6673
13	daily	1.966948e-04	0.158845	0.104013	0.155705	0.6438	0.6306
14	daily	1.958234e-04	0.159218	0.104393	0.155360	0.6753	0.6712
15	daily	1.948526e-04	0.158381	0.103558	0.155889	0.6744	0.6580
16	daily	1.937836e-04	0.156636	0.101825	0.153447	0.6484	0.6591
17	daily	1.926175e-04	0.156801	0.102001	0.155467	0.6554	0.6793
18	daily	1.913556e-04	0.155425	0.100618	0.155128	0.6382	0.6539
19	daily	1.899993e-04	0.154559	0.099749	0.168499	0.6655	0.5967
20	daily	1.885500e-04	0.154081	0.099261	0.158295	0.6646	0.6638
21	daily	1.870094e-04	0.153450	0.098632	0.155887	0.6740	0.6348
22	daily	1.853790e-04	0.152174	0.097353	0.157827	0.6767	0.6848
23	daily	1.836608e-04	0.151978	0.097159	0.158328	0.6904	0.6708
24	daily	1.818566e-04	0.151591	0.096771	0.160930	0.6472	0.6459
25	daily	1.799683e-04	0.150768	0.095939	0.158419	0.6483	0.6738
26	daily	1.779981e-04	0.150118	0.095289	0.162175	0.6659	0.6661
27	daily	1.759480e-04	0.149861	0.095031	0.163346	0.6802	0.6499
28	daily	1.738204e-04	0.149360	0.094533	0.161088	0.6839	0.6682
29	daily	1.716175e-04	0.148476	0.093648	0.161218	0.6753	0.6543
30	daily	1.693417e-04	0.147940	0.093111	0.165450	0.6626	0.6183
31	daily	1.669956e-04	0.147551	0.092721	0.158573	0.6414	0.6397
# Early stopping at epoch 31
