epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init	0.000000e+00	nan	nan	2.645991	-0.8378	-2.2089
1	train	1.600000e-04	0.904403	3.417015	0.886142	0.4965	0.4640
2	train	2.800000e-04	0.576165	2.195114	0.765674	0.5607	0.4534
3	train	4.000000e-04	0.491159	1.908634	0.732374	0.6222	0.6078
4	train	3.998377e-04	0.440870	1.742298	0.680873	0.6532	0.6097
5	train	3.993512e-04	0.396001	1.634028	0.658552	0.6608	0.6642
6	train	3.985411e-04	0.371602	1.548346	0.698194	0.6809	0.6282
7	train	3.974089e-04	0.357121	1.491720	0.630954	0.7040	0.6645
8	train	3.959565e-04	0.345730	1.461935	0.652161	0.6880	0.6572
9	train	3.941863e-04	0.337094	1.440566	0.637529	0.7094	0.5750
10	train	3.921011e-04	0.328176	1.410924	0.611092	0.7131	0.6855
11	train	3.897046e-04	0.322707	1.384699	0.626066	0.7189	0.6752
12	train	3.870006e-04	0.315171	1.355615	0.599161	0.7045	0.7106
13	train	3.839937e-04	0.310202	1.335828	0.603502	0.7031	0.6784
14	train	3.806889e-04	0.307183	1.325785	0.599727	0.7094	0.6893
15	train	3.770917e-04	0.306044	1.329019	0.608498	0.7041	0.6470
16	train	3.732081e-04	0.300744	1.313687	0.617369	0.6816	0.6306
17	train	3.690444e-04	0.295188	1.271369	0.603258	0.6833	0.6215
18	train	3.646078e-04	0.296839	1.302378	0.602088	0.7087	0.6937
19	train	3.599055e-04	0.292968	1.276566	0.610041	0.6777	0.6184
20	train	3.549454e-04	0.288980	1.254549	0.599125	0.6922	0.6918
# SWA activated at epoch 20
21	swa	2.774727e-04	0.305308	1.304323	0.611510	0.7219	0.6660
22	swa	2.000000e-04	0.298147	1.294373	0.592546	0.7225	0.6845
23	swa	2.000000e-04	0.294901	1.293044	0.594020	0.7271	0.6780
24	swa	2.000000e-04	0.292007	1.282199	0.592679	0.7212	0.6989
25	swa	2.000000e-04	0.289073	1.264235	0.592432	0.7175	0.7017
26	swa	2.000000e-04	0.285649	1.247302	0.589146	0.7208	0.6941
27	swa	2.000000e-04	0.283480	1.225845	0.588429	0.7229	0.6875
28	swa	2.000000e-04	0.283731	1.236241	0.589328	0.7212	0.6873
29	swa	2.000000e-04	0.281225	1.228280	0.588971	0.7224	0.6873
30	swa	2.000000e-04	0.281338	1.231459	0.588158	0.7243	0.6840
31	swa	2.000000e-04	0.276079	1.199836	0.586257	0.7245	0.6796
32	swa	2.000000e-04	0.276770	1.212239	0.586565	0.7238	0.6828
33	swa	2.000000e-04	0.275829	1.207112	0.587312	0.7243	0.6830
34	swa	2.000000e-04	0.277463	1.217588	0.587434	0.7241	0.6832
35	swa	2.000000e-04	0.274446	1.199833	0.587198	0.7220	0.6715
36	swa	2.000000e-04	0.273972	1.194227	0.586662	0.7214	0.6740
37	swa	2.000000e-04	0.268194	1.160306	0.585335	0.7203	0.6755
38	swa	2.000000e-04	0.269428	1.174540	0.584721	0.7172	0.6745
39	swa	2.000000e-04	0.267513	1.163667	0.583896	0.7158	0.6767
40	swa	2.000000e-04	0.268709	1.179769	0.584018	0.7156	0.6779
41	swa	2.000000e-04	0.268141	1.177146	0.583340	0.7152	0.6782
42	swa	2.000000e-04	0.262611	1.142698	0.582992	0.7168	0.6778
43	swa	2.000000e-04	0.265804	1.168753	0.582725	0.7166	0.6790
44	swa	2.000000e-04	0.263861	1.153532	0.582453	0.7171	0.6798
45	swa	2.000000e-04	0.262144	1.140479	0.582372	0.7179	0.6791
46	swa	2.000000e-04	0.262192	1.139612	0.582029	0.7175	0.6818
47	swa	2.000000e-04	0.259777	1.138391	0.581572	0.7176	0.6821
48	swa	2.000000e-04	0.258598	1.124109	0.581376	0.7170	0.6820
49	swa	2.000000e-04	0.258843	1.132955	0.581260	0.7176	0.6814
50	swa	2.000000e-04	0.257713	1.127357	0.581385	0.7183	0.6807
51	swa	2.000000e-04	0.256431	1.122810	0.581496	0.7187	0.6794
52	swa	2.000000e-04	0.257594	1.128585	0.581852	0.7187	0.6793
53	swa	2.000000e-04	0.255176	1.114013	0.581562	0.7197	0.6784
54	swa	2.000000e-04	0.256262	1.121562	0.581638	0.7199	0.6778
55	swa	2.000000e-04	0.254465	1.105894	0.582014	0.7206	0.6759
56	swa	2.000000e-04	0.253645	1.109937	0.581731	0.7192	0.6744
# SWA converged at epoch 56
