epoch	phase	lr	train_mse	train_total	val_mse	val_nse	val_kge
0	init_daily	0.000000e+00	nan	nan	19.856109	-0.0708	-0.4284
1	daily	1.600000e-04	5.524223	22.911748	6.355050	0.5534	0.4983
2	daily	2.800000e-04	3.359361	12.831765	5.455170	0.6485	0.5133
3	daily	4.000000e-04	2.848942	11.283898	4.757593	0.6801	0.6367
4	daily	3.998377e-04	2.535123	10.239095	5.181388	0.6842	0.6259
5	daily	3.993512e-04	2.297498	9.589736	4.413965	0.7155	0.6970
6	daily	3.985411e-04	2.132180	8.979743	4.354432	0.7128	0.7224
7	daily	3.974089e-04	2.020044	8.651900	4.559594	0.6930	0.6180
8	daily	3.959565e-04	1.975428	8.455508	4.303647	0.6909	0.6670
9	daily	3.941863e-04	1.944371	8.371351	5.506245	0.7123	0.6808
10	daily	3.921011e-04	1.891195	8.237014	4.573503	0.7274	0.7014
11	daily	3.897046e-04	1.863431	8.130270	5.287395	0.7243	0.6581
12	daily	3.870006e-04	1.829210	7.995299	4.914512	0.7167	0.6731
13	daily	3.839937e-04	1.817484	7.975065	4.565010	0.7229	0.6930
14	daily	3.806889e-04	1.805781	7.952814	4.939942	0.6878	0.6658
15	daily	3.770917e-04	1.787887	7.884039	4.566275	0.7076	0.6697
16	daily	3.732081e-04	1.767155	7.800683	5.404572	0.6983	0.6433
# SWA activated at epoch 16
17	swa	2.000000e-04	1.847478	8.090899	4.698920	0.7294	0.6608
18	swa	2.000000e-04	1.824359	8.028725	4.735320	0.7159	0.6663
19	swa	2.000000e-04	1.809694	7.968688	4.405780	0.7175	0.6611
20	swa	2.000000e-04	1.794684	7.896385	4.355710	0.7250	0.6614
21	swa	2.000000e-04	1.774554	7.802930	4.342613	0.7214	0.6578
22	swa	2.000000e-04	1.767354	7.814037	4.426307	0.7178	0.6450
23	swa	2.000000e-04	1.748188	7.733408	4.450962	0.7172	0.6438
24	swa	2.000000e-04	1.735490	7.683708	4.475213	0.7169	0.6462
25	swa	2.000000e-04	1.726711	7.612291	4.449797	0.7211	0.6496
26	swa	2.000000e-04	1.732524	7.655788	4.484005	0.7219	0.6399
27	swa	2.000000e-04	1.721057	7.620779	4.467316	0.7260	0.6590
28	swa	2.000000e-04	1.711425	7.554676	4.466408	0.7225	0.6543
29	swa	2.000000e-04	1.694640	7.513361	4.543976	0.7261	0.6597
30	swa	2.000000e-04	1.689502	7.442740	4.549391	0.7229	0.6561
31	swa	2.000000e-04	1.691970	7.523012	4.567604	0.7239	0.6580
# SWA converged at epoch 31
